,start,end,content,wordcount
0,52.261,56.097,"['Okay', ',', ""you're"", 'probably', 'going', ',', '""', 'ls', 'this', 'a', 'Noxzema', 'commercial', 'or', 'what', '?', '""']",16
1,56.265,60.727,"['But', 'seriously', ',', 'I', 'actually', 'have', 'a', 'way', 'normal', 'life', 'for', 'a', 'teenage', 'girl', '.']",15
2,61.145,65.314,"['I', 'get', 'up', ',', 'I', 'brush', 'my', 'teeth', ',', 'and', 'I', 'pick', 'out', 'my', 'school', 'clothes', '.']",17
3,84.334,88.004,"['Daddy', ""'s"", 'a', 'litigator', '.', 'Those', 'are', 'the', 'scariest', 'kinds', 'of', 'lawyers', '.']",13
4,88.088,90.923,"['Even', 'Lucy', ',', 'our', 'maid', ',', 'is', 'terrified', 'of', 'him', '.']",11
5,91.049,94.927,"['And', 'Daddy', ""'s"", 'so', 'good', ',', 'he', 'gets', '$500', 'an', 'hour', 'to', 'fight', 'with', 'people', '.']",16
6,95.012,97.305,"['He', 'fights', 'with', 'me', 'for', 'free', 'because', ""I'm"", 'his', 'daughter', '.']",11
7,97.389,98.931,"['-Daddy', '.', '-Cher', ',', 'please', ""don't"", 'start']",7
8,99.016,101.476,"['-with', 'the', 'juice', 'again', '.', '-Daddy', ',', 'you', 'need', 'your', 'vitamin', 'C', '.']",13
9,101.56,102.56,"['Where', ""'s"", 'my', 'briefcase', '?']",5
10,102.644,105.646,"['lt', ""'s"", 'been', 'a', 'couple', 'of', 'months', 'now', ',', 'so', 'l', 'said', ""we'd"", 'go', 'out', 'to', 'Malibu', '.']",18
11,105.731,108.9,"[""Don't"", 'tell', 'me', 'those', 'brain-dead', 'lowlifes', 'have', 'been', 'calling', 'again', '.']",11
12,108.984,112.111,"['They', 'are', 'your', 'parents', '.', 'And', ""don't"", 'try', 'sneaking', 'out', 'of', 'the', 'office', '.']",14
13,112.196,114.405,"['Dr.', 'Lovett', ""'s"", 'coming', 'by', 'to', 'give', 'you', 'a', 'flu', 'shot', '.']",12
14,114.49,116.449,"['Josh', 'is', 'in', 'town', ',', 'he', ""'s"", 'coming', 'for', 'dinner', '.']",11
15,116.533,118.534,"['-Why', '?', '-He', ""'s"", 'your', 'stepbrother', '.']",7
16,118.619,121.954,"['You', 'were', 'hardly', 'even', 'married', 'to', 'his', 'mother', 'and', 'that', 'was', 'five', 'years', 'ago', '.']",15
17,122.039,125.875,"['-Why', 'do', 'l', 'have', 'to', 'see', 'Josh', '?', '-You', 'divorce', 'wives', ',', 'not', 'children', '.']",15
18,126.168,127.794,"['-Here', '.', '-Forget', 'it', '!']",5
19,128.67,131.172,"['Did', 'I', 'show', 'you', 'the', 'loqued-out', 'jeep', 'Daddy', 'got', 'me', '?']",11
20,131.256,136.052,"['It', ""'s"", 'got', 'four-wheel', 'drive', ',', 'dual', 'side', 'airbags', ',', 'and', 'a', 'monster', 'sound', 'system', '.']",16
21,136.428,139.889,"['I', ""don't"", 'have', 'a', 'license', 'yet', ',', 'but', 'I', 'needed', 'something', 'to', 'learn', 'on', '.']",15
22,141.183,143.434,"['Boy', ',', 'they', 'came', 'out', 'of', 'nowhere', '.']",8
23,145.145,146.479,"['Here', ""'s"", 'where', 'Dionne', 'lives', '.']",6
24,146.563,148.981,"['She', ""'s"", 'my', 'friend', 'because', 'we', 'both', 'know', 'what', 'it', ""'s"", 'like']",12
25,149.066,150.399,"['to', 'have', 'people', 'be', 'jealous', 'of', 'us', '.']",8
26,150.484,151.567,"['Dude', '!']",2
27,152.11,153.319,"['Girlfriend', '!']",2
28,153.403,156.781,"['And', 'I', 'must', 'give', 'her', 'snaps', 'for', 'her', 'courageous', 'fashion', 'efforts', '.']",12
29,156.865,157.99,"['Hey', ',', 'Cher', '.']",4
30,158.075,161.118,"['Dionne', 'and', 'I', 'were', 'both', 'named', 'after', 'great', 'singers', 'of', 'the', 'past']",12
31,161.203,163.162,"['who', 'now', 'do', 'infomercials', '.']",5
32,164.248,165.248,"['So', '?']",2
33,165.332,167.124,"['Go', 'shopping', 'with', 'Dr.', 'Seuss', '?']",6
34,167.209,169.71,"['At', 'least', 'l', ""wouldn't"", 'skin', 'a', 'collie', 'to', 'make', 'my', 'backpack', '.']",12
35,169.795,171.087,"['lt', ""'s"", 'faux', '.']",4
36,171.588,175.049,"['-Hello', '!', 'That', 'was', 'a', 'stop', 'sign', '.', '-l', 'totally', 'paused', '.']",12
37,176.134,177.426,"['Yeah', '.', 'Okay', '.']",4
38,180.389,183.057,"['lt', ""'s"", 'not', 'even', '8', ':', '30', 'and', 'Murray', 'is', 'paging', 'me', '.']",13
39,183.141,184.976,"['-He', 'is', 'so', 'possessive', '.', '-Tell', 'me', 'about', 'it', '.']",10
40,185.06,187.395,"['This', 'weekend', 'he', 'called', 'me', 'and', 'he', ""'s"", 'all', ',', '""', 'Where', 'were', 'you', '?', '""']",16
41,187.479,188.688,"[""l'm"", 'like', ',', '""', ""l'm"", 'at', 'my', 'grandmother', ""'s"", '.', '.', '.', '""']",13
42,188.772,192.066,"['Dionne', 'and', 'her', 'boyfriend', 'Murray', 'are', 'in', 'this', 'dramatic', 'relationship', '.']",11
43,192.15,194.652,"['I', 'think', ""they've"", 'seen', 'that', 'Ike', 'and', 'Tina', 'Turner', 'movie']",10
44,194.736,196.696,"['just', 'too', 'many', 'times', '.']",5
45,196.78,198.531,"['Now', 'I', 'have', 'to', 'say', 'to', 'her', '.', '.', '.']",10
46,198.615,201.367,"['De', ',', 'why', 'do', 'you', 'put', 'up', 'with', 'it', '?', 'You', 'could', 'do', 'so', 'much', 'better', '.']",17
47,201.451,202.91,"['l', 'know', '.', 'Here', 'he', 'comes', '.']",7
48,205.831,208.04,"['Woman', ',', 'why', ""don't"", 'you', 'be', 'answering', 'any', 'of', 'my', 'pages', '?']",12
49,208.125,210.71,"['-l', 'hate', 'when', 'you', 'call', 'me', '""', 'woman', '.', '""', '-Where', 'you', 'been', 'all', 'weekend', '?']",16
50,210.794,212.461,"['-You', 'jeeping', 'behind', 'my', 'back', '?', '-Jeeping', '?']",8
51,212.546,214.547,"['Jeeping', '.', 'Know', 'what', ""l'm"", 'saying', '?']",7
52,214.631,216.549,"['No', ',', 'but', 'speaking', 'of', 'vehicular', 'sex']",7
53,216.633,219.594,"['perhaps', 'you', 'can', 'explain', 'how', 'this', 'cheap', 'K-Mart', 'hair', 'extension']",10
54,219.678,222.93,"['-got', 'into', 'the', 'back', 'seat', 'of', 'your', 'car', '.', '-l', ""don't"", 'know', 'where', 'that', 'came', 'from', '.']",17
55,223.015,226.225,"['That', 'looks', 'like', 'one', 'of', 'your', 'little', 'stringy', 'things', 'you', 'got', 'up', 'in', 'your', 'hair', '.']",16
56,226.31,228.144,"['l', 'do', 'not', 'wear', 'polyester', 'hair', ',', 'okay', '?']",9
57,228.228,230.938,"['Unlike', 'some', 'people', 'l', 'know', ',', 'like', 'Shawana', '.']",9
58,231.064,232.565,"['-De', ',', ""l'm"", 'Audi', '.', '-Bye', '.']",7
59,232.649,235.234,"['-Why', 'do', 'you', 'gotta', 'go', 'there', '?', '-That', ""'s"", 'it', '!', ""l've"", 'had', 'it', 'with', 'you', '!']",17
60,235.319,237.695,"['ls', 'it', 'that', 'time', 'of', 'the', 'month', 'again', '?']",9
61,237.779,240.865,"['I', ""don't"", 'know', 'why', 'Dionne', ""'s"", 'going', 'out', 'with', 'a', 'high-school', 'boy', '.']",13
62,240.949,242.158,"[""They're"", 'like', 'dogs', '.']",4
63,242.242,244.118,"['You', 'have', 'to', 'clean', 'them', 'and', 'feed', 'them', 'and', '.', '.', '.']",12
64,244.202,246.12,"[""They're"", 'just', 'like', 'these', 'nervous', 'creatures']",6
65,246.204,248.372,"['that', 'jump', 'and', 'slobber', 'all', 'over', 'you', '.']",8
66,248.999,250.541,"['Get', 'off', 'of', 'me', '.']",5
67,251.585,252.752,"['As', 'if', '!']",3
68,253.503,258.007,"['Should', 'all', 'oppressed', 'people', 'be', 'allowed', 'refuge', 'in', 'America', '?']",10
69,258.675,262.303,"['Amber', 'will', 'take', 'the', 'con', 'position', '.', 'Cher', 'will', 'be', 'pro', '.']",12
70,263.013,264.68,"['Cher', ',', 'two', 'minutes', '.']",5
71,265.265,266.724,"['So', ',', 'okay', '.']",4
72,267.434,271.52,"['Like', 'right', 'now', ',', 'for', 'example', ',', 'the', 'Haitians', 'need', 'to', 'come', 'to', 'America', '.']",15
73,272.189,275.608,"['But', 'some', 'people', 'are', 'all', ',', '""', 'What', 'about', 'the', 'strain', 'on', 'our', 'resources', '?', '""']",16
74,275.692,279.695,"['But', 'it', ""'s"", 'like', ',', 'when', 'l', 'had', 'this', 'garden', 'party', 'for', 'my', 'father', ""'s"", 'birthday', ',', 'right', '?']",19
75,279.78,282.615,"['l', 'said', 'RSVP', 'because', 'it', 'was', 'a', 'sit-down', 'dinner', '.']",10
76,282.699,287.62,"['But', 'people', 'came', 'that', ',', 'like', ',', 'did', 'not', 'RSVP', '.', 'So', ',', 'l', 'was', 'like', 'totally', 'bugging', '.']",19
77,288.038,291.248,"['l', 'had', 'to', 'haul', 'ass', 'to', 'the', 'kitchen', ',', 'redistribute', 'the', 'food', ',']",13
78,291.333,293.125,"['squish', 'in', 'extra', 'place', 'settings', ',']",6
79,293.21,296.462,"['but', 'by', 'the', 'end', 'of', 'the', 'day', 'it', 'was', ',', 'like', ',', 'the', 'more', 'the', 'merrier', '.']",17
80,296.546,299.34,"['And', 'so', ',', 'if', 'the', 'government', 'could', 'just', 'get', 'to', 'the', 'kitchen', ',']",13
81,299.424,303.302,"['rearrange', 'some', 'things', ',', 'we', 'could', 'certainly', 'party', 'with', 'the', 'Haitians', '.']",12
82,303.387,305.805,"['And', 'in', 'conclusion', ',', 'may', 'l', 'please', 'remind', 'you']",9
